carrier,day_of_month,avg_delay
Alaska Airlines Inc.,1,4.36468330134357
Alaska Airlines Inc.,2,4.7481520591341075
Alaska Airlines Inc.,3,6.861425061425061
Alaska Airlines Inc.,4,43.31305201177625
Alaska Airlines Inc.,5,29.1234693877551
Alaska Airlines Inc.,6,20.427254098360656
Alaska Airlines Inc.,7,20.875242718446604
Alaska Airlines Inc.,8,19.17595907928389
Alaska Airlines Inc.,9,25.823596142938175
Alaska Airlines Inc.,10,24.185786802030456
Alaska Airlines Inc.,11,23.210445468509985
Alaska Airlines Inc.,12,13.534127843987
Alaska Airlines Inc.,13,4.846311475409836
Alaska Airlines Inc.,14,16.472646623952684
Alaska Airlines Inc.,15,8.327398615232443
Alaska Airlines Inc.,16,4.363733333333333
Alaska Airlines Inc.,17,5.948428290766208
Alaska Airlines Inc.,18,3.1476510067114094
Alaska Airlines Inc.,19,-4.616219008264463
Alaska Airlines Inc.,20,0.11901159858799798
Alaska Airlines Inc.,21,9.142651986596457
Alaska Airlines Inc.,22,9.38149430974765
Alaska Airlines Inc.,23,-3.0573986308583465
Alaska Airlines Inc.,24,-2.256198347107438
Alaska Airlines Inc.,25,4.532141130981151
Alaska Airlines Inc.,26,-3.1530506721820064
Alaska Airlines Inc.,27,2.9965
Alaska Airlines Inc.,28,-3.953333333333333
Alaska Airlines Inc.,29,-10.55157278712509
Alaska Airlines Inc.,30,-10.763341067285383
Alaska Airlines Inc.,31,1.9378200438917337
Allegiant Air,1,22.472189349112426
Allegiant Air,2,25.882275132275133
Allegiant Air,3,17.583333333333332
Allegiant Air,4,24.546666666666667
Allegiant Air,5,14.43400447427293
Allegiant Air,6,17.717299578059073
Allegiant Air,7,13.9717277486911
Allegiant Air,8,7.048433048433049
Allegiant Air,9,7.865248226950355
Allegiant Air,10,10.46284501061571
Allegiant Air,11,13.281997918834547
Allegiant Air,12,-0.38148984198645597
Allegiant Air,13,8.378345498783455
Allegiant Air,14,7.296523517382413
Allegiant Air,15,27.581208053691274
Allegiant Air,16,15.685847589424572
Allegiant Air,17,16.27327935222672
Allegiant Air,18,18.84122287968442
Allegiant Air,19,10.228519195612432
Allegiant Air,20,15.256020278833967
Allegiant Air,21,21.67608476286579
Allegiant Air,22,5.938088829071332
Allegiant Air,23,12.809597523219814
Allegiant Air,24,15.747474747474747
Allegiant Air,25,9.63573543928924
Allegiant Air,26,1.1516666666666666
Allegiant Air,27,19.491186839012926
Allegiant Air,28,15.206030150753769
Allegiant Air,29,-3.9655172413793105
Allegiant Air,30,3.770780856423174
Allegiant Air,31,20.51896813353566
American Airlines Inc.,1,21.802575660012877
American Airlines Inc.,2,16.174175035868007
