day_of_month,carrier,avg_dep_delay,avg_arr_delay
1,Pinnacle Airlines Inc.,16.540330920372284,8.881804043545879
1,Frontier Airlines Inc.,16.74217907227616,11.697950377562028
1,"Midwest Airline, Inc.",19.658717105263158,19.61129431162407
1,Southwest Airlines Co.,13.779031966769008,7.080365214246972
1,American Airlines Inc.,12.868525896414342,8.96381197681906
1,JetBlue Airways,30.21491935483871,25.810372771474878
1,Comair Inc.,19.35516934046346,16.15798922800718
1,American Eagle Airlines Inc.,14.950403225806452,14.422483766233766
1,United Air Lines Inc.,11.108085977482087,6.724385245901639
1,Alaska Airlines Inc.,3.5133843212237093,0.9428982725527831
1,Mesa Airlines Inc.,13.644927536231885,11.26327557294578
1,Skywest Airlines Inc.,22.63342536949813,17.919470761189153
1,Atlantic Southeast Airlines,23.714514835605453,21.695967741935483
1,Spirit Air Lines,10.558990536277603,7.078914141414141
1,Hawaiian Airlines Inc.,5.27299703264095,4.078635014836795
1,Delta Air Lines Inc.,7.984756527875794,-0.7637416984597993
1,Allegiant Air,12.027186761229315,10.450887573964497
2,Hawaiian Airlines Inc.,3.7480680061823803,2.321483771251932
2,Frontier Airlines Inc.,16.94633077765608,11.842105263157896
2,American Eagle Airlines Inc.,12.53757778841551,12.1744578313253
2,Skywest Airlines Inc.,18.13059228400652,14.832846715328467
2,"Midwest Airline, Inc.",11.796713615023474,6.967483506126296
2,Allegiant Air,13.675427069645204,12.095238095238095
2,Spirit Air Lines,14.103318722604884,8.83155917345022
2,Alaska Airlines Inc.,4.604210526315789,0.19640971488912354
2,JetBlue Airways,19.87803738317757,14.720243673851922
2,Comair Inc.,5.968095238095238,-1.4245463228271251
2,Pinnacle Airlines Inc.,9.391558441558441,0.6469055374592834
2,Southwest Airlines Co.,16.28787878787879,9.674540682414698
2,American Airlines Inc.,10.672776743519977,5.666427546628407
2,Mesa Airlines Inc.,12.199250468457214,10.776241357636707
2,United Air Lines Inc.,11.588063063063062,7.595345684591053
2,Delta Air Lines Inc.,6.560253365003959,-1.879638439581351
2,Atlantic Southeast Airlines,16.466787989080984,14.516010978956999
3,Spirit Air Lines,6.618170266836087,0.45038167938931295
3,Alaska Airlines Inc.,4.69656862745098,2.303194103194103
3,American Eagle Airlines Inc.,6.687121517965281,3.546450304259635
3,Southwest Airlines Co.,9.780197206244864,2.4289533209952703
3,Mesa Airlines Inc.,16.789036544850497,16.685936631461924
3,Comair Inc.,7.695191883546538,2.476991150442478
3,"Midwest Airline, Inc.",4.135338345864661,-1.1990226565970679
3,JetBlue Airways,18.845585215605748,11.994214876033057
3,Pinnacle Airlines Inc.,5.836294416243655,-2.1487603305785123
3,American Airlines Inc.,9.041358350951374,4.675539663620713
3,Allegiant Air,9.43372216330859,8.346153846153847
3,United Air Lines Inc.,9.702401010951979,5.171663851351352
3,Hawaiian Airlines Inc.,0.19393939393939394,-1.1305007587253415
3,Frontier Airlines Inc.,12.031218529707957,5.86404833836858
3,Delta Air Lines Inc.,9.07473841554559,0.9965568862275449
3,Skywest Airlines Inc.,15.366683510190331,10.904009514101258
3,Atlantic Southeast Airlines,11.618930041152263,10.444628099173555
4,Allegiant Air,13.49077868852459,11.031794871794872
4,Hawaiian Airlines Inc.,2.010355029585799,1.150887573964497
4,"Midwest Airline, Inc.",2.7544134954884267,-3.8545025560361776
4,Atlantic Southeast Airlines,7.832672482157018,3.9141494435612083
4,Comair Inc.,3.432615124630334,-2.4752223634053365
4,JetBlue Airways,39.278825995807125,33.33655462184874
4,Mesa Airlines Inc.,14.650767543859649,11.562019758507136
4,Pinnacle Airlines Inc.,11.46350710900474,2.256641366223909
4,American Eagle Airlines Inc.,5.306347396427214,0.448
4,Spirit Air Lines,5.767811704834606,-0.4678548695098663
4,Delta Air Lines Inc.,12.547251878212732,3.808016877637131
4,Skywest Airlines Inc.,17.8438302371243,12.625132797086053
4,Southwest Airlines Co.,6.087944035613701,-2.3469406309664516
4,American Airlines Inc.,8.357845014681477,2.290008954842011
4,United Air Lines Inc.,6.583605220228385,0.22363041700735894
4,Frontier Airlines Inc.,17.267820773930755,9.079591836734695
4,Alaska Airlines Inc.,21.515403422982885,21.938174681059863
5,Delta Air Lines Inc.,4.624473166619837,-4.281254394599916
5,Comair Inc.,6.847727272727273,0.39326354119253526
5,"Midwest Airline, Inc.",0.15356265356265356,-6.1336613366133665
5,Skywest Airlines Inc.,17.827280197206246,14.44007273929575
5,Mesa Airlines Inc.,6.510440835266821,3.130081300813008
5,American Eagle Airlines Inc.,2.665399239543726,-2.0975816716164615
5,American Airlines Inc.,6.62106135986733,1.1367474048442907
5,Alaska Airlines Inc.,15.486802030456852,13.854081632653061
5,Southwest Airlines Co.,4.992147897823278,-3.377660632584046
5,Spirit Air Lines,2.955770559778853,-3.219765031098825
5,Frontier Airlines Inc.,11.20342857142857,2.890285714285714
5,Pinnacle Airlines Inc.,2.327034120734908,-7.052521008403361
5,Hawaiian Airlines Inc.,0.10725075528700906,-0.6450151057401813
5,Atlantic Southeast Airlines,8.389064976228209,3.1405877680698966
5,United Air Lines Inc.,10.186546314205888,5.051646223369916
5,Allegiant Air,9.020044543429844,5.353467561521253
5,JetBlue Airways,19.810175288584865,12.020994001713795
6,Spirit Air Lines,2.4100274725274726,-3.587912087912088
6,JetBlue Airways,11.580645161290322,5.422604422604422
6,Pinnacle Airlines Inc.,1.8454715219421103,-6.34315100514259
6,American Airlines Inc.,4.749047931713723,-0.15316855114383382
6,Delta Air Lines Inc.,6.26043146880248,-1.8665459718091297
